ZoneID,Temp,NoiseLevel,CrowdDensity,IncidentReports,CCTVAlerts,InternetTraffic,ThreatLevel
Z172,35,71,390,6,1,834,High
Z209,34,87,357,3,0,712,High
Z036,26,71,268,2,0,419,Low
Z008,31,81,160,2,0,787,Low
Z012,28,64,212,3,2,783,Low
Z092,27,55,77,4,1,741,Medium
Z202,35,86,426,1,0,944,High
Z108,32,82,431,1,2,813,Medium
Z207,32,89,421,4,0,737,High
Z017,27,63,144,1,2,402,Low
Z094,35,60,274,4,0,260,Medium
Z152,33,87,453,3,2,831,High
Z094,35,60,274,4,0,260,Medium
Z159,36,61,485,4,2,785,High
Z029,31,57,252,2,0,469,Low
Z200,34,57,403,5,3,716,High
Z159,36,61,485,4,2,785,High
Z133,28,93,360,4,0,405,Medium
Z055,28,72,471,2,2,109,Low
Z006,31,47,290,0,2,609,Low
Z200,34,57,403,5,3,716,High
Z170,40,81,328,5,0,899,High
Z141,33,77,323,5,0,938,High
Z168,35,62,453,5,2,873,High
Z169,33,85,292,5,2,889,High
Z012,28,64,212,3,2,783,Low
Z165,33,84,436,3,5,968,High
Z147,37,77,358,4,2,781,High
Z207,32,89,421,4,0,737,High
Z187,36,77,407,4,2,805,High
Z168,35,62,453,5,2,873,High
Z093,24,69,378,2,1,878,Medium
Z167,35,91,445,1,0,919,High
Z142,33,76,419,4,2,868,High
Z066,32,65,172,3,0,379,Low
Z030,29,82,65,2,3,765,Low
Z010,33,67,341,1,1,164,Low
Z024,28,81,310,2,1,260,Low
Z182,34,92,279,4,1,903,High
Z008,31,81,160,2,0,787,Low
Z164,34,91,341,1,5,429,High
Z013,32,57,377,2,1,381,Low
Z192,36,81,422,6,2,953,High
Z086,35,60,93,4,1,278,Medium
Z175,32,86,430,4,1,987,High
Z048,28,60,90,0,1,362,Low
Z051,31,71,298,3,2,207,Low
Z066,32,65,172,3,0,379,Low
Z103,34,82,396,3,0,397,Medium
Z115,29,82,269,4,4,948,Medium
Z115,29,82,269,4,4,948,Medium
Z114,33,42,282,0,2,956,Medium
Z191,25,89,474,3,5,886,High
Z164,34,91,341,1,5,429,High
Z124,28,71,472,3,1,783,Medium
Z090,34,65,372,1,2,421,Medium
Z004,36,81,231,3,0,114,Low
Z031,29,60,397,0,1,632,Low
Z062,28,67,188,0,1,953,Low
Z110,29,78,492,4,2,684,Medium
Z097,27,63,452,0,0,787,Medium
Z084,34,66,167,3,2,803,Medium
Z045,24,73,261,1,1,660,Low
Z026,26,44,172,3,0,816,Low
Z133,28,93,360,4,0,405,Medium
Z054,33,75,305,0,1,161,Low
Z032,30,79,64,2,0,281,Low
Z205,33,92,425,2,2,951,High
Z161,37,80,473,5,1,921,High
Z019,29,69,209,2,2,759,Low
Z016,32,69,450,2,3,174,Low
Z071,30,79,136,4,0,742,Medium
Z112,29,90,130,1,0,766,Medium
Z043,27,66,128,3,1,155,Low
Z102,29,78,348,2,0,901,Medium
Z200,34,57,403,5,3,716,High
Z129,26,62,468,2,0,992,Medium
Z085,34,75,79,4,3,311,Medium
Z058,30,60,198,3,0,279,Low
Z132,31,73,498,6,1,324,Medium
Z179,30,93,325,1,4,820,High
Z064,27,77,95,2,0,913,Low
Z030,29,82,65,2,3,765,Low
Z130,33,83,291,4,2,839,Medium
Z092,27,55,77,4,1,741,Medium
Z053,32,73,216,2,0,550,Low
Z084,34,66,167,3,2,803,Medium
Z094,35,60,274,4,0,260,Medium
Z089,26,57,412,3,3,869,Medium
Z119,32,69,491,2,1,800,Medium
Z154,29,85,310,4,0,719,High
Z021,30,67,336,2,3,295,Low
Z067,35,66,67,1,1,170,Low
Z205,33,92,425,2,2,951,High
Z164,34,91,341,1,5,429,High
Z005,31,68,120,0,1,781,Low
Z049,31,70,220,2,1,582,Low
Z057,32,83,119,1,1,745,Low
Z157,33,60,422,4,4,606,High
Z035,27,66,218,1,0,271,Low
Z087,33,77,394,1,0,135,Medium
Z094,35,60,274,4,0,260,Medium
Z143,34,86,332,1,0,761,High
Z181,28,94,403,5,1,754,High
Z067,35,66,67,1,1,170,Low
Z008,31,81,160,2,0,787,Low
Z062,28,67,188,0,1,953,Low
Z193,29,87,335,5,0,979,High
Z062,28,67,188,0,1,953,Low
Z109,29,76,405,2,1,839,Medium
Z037,28,66,279,1,0,597,Low
Z155,35,59,302,6,0,850,High
Z097,27,63,452,0,0,787,Medium
Z020,35,63,300,1,3,564,Low
Z006,31,47,290,0,2,609,Low
Z036,26,71,268,2,0,419,Low
Z128,35,78,495,4,0,345,Medium
Z056,31,78,433,2,1,237,Low
Z013,32,57,377,2,1,381,Low
Z174,31,88,401,5,0,915,High
Z115,29,82,269,4,4,948,Medium
Z173,36,53,334,5,1,994,High
Z164,34,91,341,1,5,429,High
Z034,33,55,244,3,0,275,Low
Z044,34,61,188,2,2,516,Low
Z147,37,77,358,4,2,781,High
Z166,34,66,396,1,4,726,High
Z116,31,96,414,1,0,533,Medium
Z172,35,71,390,6,1,834,High
Z039,31,73,139,1,0,661,Low
Z194,33,86,340,4,0,813,High
Z011,22,72,211,3,3,258,Low
Z164,34,91,341,1,5,429,High
Z171,34,84,484,4,2,887,High
Z085,34,75,79,4,3,311,Medium
Z033,27,53,211,2,0,780,Low
Z039,31,73,139,1,0,661,Low
Z001,28,59,160,3,3,262,Low
Z083,36,57,289,4,0,881,Medium
Z025,32,63,167,4,1,178,Low
Z151,32,96,482,4,1,850,High
Z033,27,53,211,2,0,780,Low
Z180,34,58,86,4,4,714,High
Z048,28,60,90,0,1,362,Low
Z098,25,74,496,1,1,739,Medium
Z191,25,89,474,3,5,886,High
Z093,24,69,378,2,1,878,Medium
Z155,35,59,302,6,0,850,High
Z042,28,77,199,3,2,824,Low
Z093,24,69,378,2,1,878,Medium
Z204,34,96,360,5,2,338,High
Z152,33,87,453,3,2,831,High
Z077,35,89,272,3,1,251,Medium
Z158,36,86,466,5,1,692,High
Z132,31,73,498,6,1,324,Medium
Z204,34,96,360,5,2,338,High
Z178,34,50,334,4,4,780,High
Z016,32,69,450,2,3,174,Low
Z064,27,77,95,2,0,913,Low
Z044,34,61,188,2,2,516,Low
Z007,31,88,224,1,3,565,Low
Z058,30,60,198,3,0,279,Low
Z202,35,86,426,1,0,944,High
Z207,32,89,421,4,0,737,High
Z014,27,62,383,3,0,192,Low
Z063,31,67,140,3,2,269,Low
Z210,33,80,336,4,1,929,High
Z194,33,86,340,4,0,813,High
Z075,32,66,251,4,1,996,Medium
Z052,30,85,79,1,2,690,Low
Z008,31,81,160,2,0,787,Low
Z141,33,77,323,5,0,938,High
Z122,30,88,386,1,1,731,Medium
Z072,34,87,176,0,0,861,Medium
Z030,29,82,65,2,3,765,Low
Z022,31,63,89,1,0,591,Low
Z176,33,72,306,4,1,778,High
Z089,26,57,412,3,3,869,Medium
Z038,29,67,311,1,1,482,Low
Z148,29,86,433,4,0,712,High
Z054,33,75,305,0,1,161,Low
Z103,34,82,396,3,0,397,Medium
Z012,28,64,212,3,2,783,Low
Z007,31,88,224,1,3,565,Low
Z198,35,85,430,1,4,501,High
Z095,30,51,317,4,1,741,Medium
Z137,22,81,451,0,1,996,Medium
Z010,33,67,341,1,1,164,Low
Z205,33,92,425,2,2,951,High
Z149,36,64,487,4,1,836,High
Z081,28,87,491,3,2,437,Medium
Z086,35,60,93,4,1,278,Medium
Z194,33,86,340,4,0,813,High
Z200,34,57,403,5,3,716,High
Z089,26,57,412,3,3,869,Medium
Z032,30,79,64,2,0,281,Low
Z082,34,80,67,2,0,736,Medium
Z013,32,57,377,2,1,381,Low
Z074,28,67,408,0,2,952,Medium
Z043,27,66,128,3,1,155,Low
Z128,35,78,495,4,0,345,Medium
Z112,29,90,130,1,0,766,Medium
Z036,26,71,268,2,0,419,Low
Z005,31,68,120,0,1,781,Low
Z173,36,53,334,5,1,994,High
Z083,36,57,289,4,0,881,Medium
Z057,32,83,119,1,1,745,Low
Z081,28,87,491,3,2,437,Medium
Z058,30,60,198,3,0,279,Low
Z134,29,60,269,5,0,817,Medium
Z062,28,67,188,0,1,953,Low
Z210,33,80,336,4,1,929,High
Z094,35,60,274,4,0,260,Medium
Z199,37,76,447,4,3,815,High
Z030,29,82,65,2,3,765,Low
Z063,31,67,140,3,2,269,Low
Z206,36,81,482,4,4,387,High
Z046,27,62,370,3,2,388,Low
Z195,33,95,235,5,0,869,High
Z016,32,69,450,2,3,174,Low
Z160,35,87,499,1,0,836,High
Z138,25,89,86,4,1,947,Medium
Z124,28,71,472,3,1,783,Medium
Z099,36,80,412,1,2,166,Medium
Z025,32,63,167,4,1,178,Low
Z052,30,85,79,1,2,690,Low
Z003,32,65,431,2,1,204,Low
Z018,30,53,142,3,0,424,Low
Z143,34,86,332,1,0,761,High
Z209,34,87,357,3,0,712,High
Z193,29,87,335,5,0,979,High
Z062,28,67,188,0,1,953,Low
Z111,31,70,165,5,1,989,Medium
Z172,35,71,390,6,1,834,High
Z143,34,86,332,1,0,761,High
Z142,33,76,419,4,2,868,High
Z195,33,95,235,5,0,869,High
Z173,36,53,334,5,1,994,High
Z157,33,60,422,4,4,606,High
Z192,36,81,422,6,2,953,High
Z112,29,90,130,1,0,766,Medium
Z166,34,66,396,1,4,726,High
Z083,36,57,289,4,0,881,Medium
Z001,28,59,160,3,3,262,Low
Z077,35,89,272,3,1,251,Medium
Z125,30,60,147,4,0,923,Medium
Z202,35,86,426,1,0,944,High
Z209,34,87,357,3,0,712,High
Z143,34,86,332,1,0,761,High
Z132,31,73,498,6,1,324,Medium
Z191,25,89,474,3,5,886,High
Z032,30,79,64,2,0,281,Low
Z157,33,60,422,4,4,606,High
Z098,25,74,496,1,1,739,Medium
Z200,34,57,403,5,3,716,High
Z120,33,73,91,2,0,952,Medium
Z069,31,53,236,1,0,766,Low
Z104,30,77,321,2,4,587,Medium
Z079,28,78,379,5,1,586,Medium
Z172,35,71,390,6,1,834,High
Z202,35,86,426,1,0,944,High
Z033,27,53,211,2,0,780,Low
Z135,31,74,360,3,0,905,Medium
Z109,29,76,405,2,1,839,Medium
